id,Statement,Label
2,Fact Check: 1938 video of BKS Iyengar shared as PM Modi performing yoga ,Fake
3,Fact Check: Conspiracy theory claims Sushant was killed for a corona testing patent,Fake
4,Fact Check: Gujarat’s Rani ki Vav shared as palace built by Chola emperor for wife,Fake
5,"Fact Check: No, PM Modi has not announced another Covid-19 lockdown ",Fake
6,Fact Check: The curious case of a 'desecrated' Kali idol in a Bengal temple,Fake
7,Fact Check: This girl with a beautiful voice is not related to Kishore Kumar,Fake
8,Fact Check: This is not the childhood family photo of Covid-19 vaccine inventor,Fake
9,Fact Check: This is not the juvenile involved in Nirbhaya’s gang rape and murder,Fake
10,Fact Check: Unrelated images passed off as visuals from the horrific Assam floods,Fake
11,Fact Check: Viral video of Yogi Adityanath burning crackers is not from Diwali ,Fake
12,Viral Test: Is Madhya Pradesh govt's request to ban porn to check rapes based on facts?,Fake
13,Viral test: The truth behind ATM dispensing fakes,Fake
14,"Viral Test: Did Salman Khan's Father Write ""Kalam-Kaagaz"" Poem?",Fake
15,Fact Check: Was Modi right about Congress leaders not meeting Bhagat Singh in jail?,Fake
16,Viral Test: Truth behind 'Congress-Church plot' to divide Karnataka Hindus,Fake
17,Viral Test: Who Photoshopped Ex-Prez Mukherjee In RSS Cap?,Fake
18,Fact Check: Why is social media fuming over air conditioners and 24 degrees Celsius default setting?,Fake
19,Viral Test: Did Pandit Nehru give interview to Playboy?,Fake
20,Fact Check: This photo of a madrasa teacher showing Islam as 'superior' to Hinduism is fake,Fake
21,Fact Check: The complete truth behind the photo that embarrassed UP Police,Fake
22,Fact Check: Is India really no country for women?,Fake
23,Viral Test: Did Lord Krishna point at Eid moon,Fake
24,Viral Test: Micetery solved as rats destroy currency worth Rs 12 lakh at ATM in Assam's Tinsukia,Fake
25,Viral Test: No misconduct with President Kovind at Puri,Fake
26,Fact Check: Why did trolls attack Sushma Swaraj? Deshbhakti isn't the reason,Fake
27,"Fact File: Women Reservation Bill- BJP gave only 8% ticket to women candidates, Congress just 12%",Fake
28,Viral Test: Does Congress support female genital mutilation?,Fake
29,Viral Test: Is a bank transaction possible through contactless card while it's in your wallet?,Fake
30,Viral Test: 'Croatian president in bikini' setting internet on fire,Fake
31,Fact Check: Have Croatia footballers donated their prize money?,Fake
32,Fact Check: Did East India Company issue coins with Hindu Gods?,Fake
33,"Viral Test: After Panchkula gang rape case, here's the truth behind SMS claiming safety for women",Fake
34,Fact check: Postcard News fakes data to show more sports medals during NDA rule than UPA,Fake
35,Viral Test: Allegations of rape bully's BJP links trashed,Fake
36,Fact Check: Did Sitaram Yechury attend a Hindu festival in Hyderabad?,Fake
37,Fact Check: Reality of Jaguar 'freebies' To Modi Government,Fake
38,Viral Test: Why a Google search for Jio Institute is not a good idea,Fake
39,Viral test: How deadly rumours spread via WhatsApp groups,Fake
40,"Viral Test: No, the funny picture going viral is not from Rahul Gandhi's constituency",Fake
41,Viral Test: Is Kerala's PFI supplying swords to attack Hindus?,Fake
42,Viral Test: Is this sensational video of infiltration in Kashmir real?,Fake
43,Fact Check: No jhappi for this after Rahul Gandhi mixes up unemployment figures,Fake
44,Fact Check: Did Mughals ban cow slaughter?,Fake
45,Fact Check: Glaring flip flop in Rafale 'secrecy pact' revealed,Fake
46,Fact Check: Claim linking Muslims to 96 per cent rapes in India falls flat,Fake
47,Fact Check : Propaganda over flood relief? Photos of 'BJP' MLA carrying sack of rice on his back go viral,Fake
48,Viral Test: Shivling removal video linked to Kerala really took place in Tamil Nadu,Fake
49,Viral Test: Miraculous escape for Manipur student after cops baton charge at protesting mob,Fake
50,Viral Test: Assam's 'Muslim Homeland' video is a hoax,Fake
51,"Viral Test: Big B, Madhuri Dixit campaigning For Imran Khan?",Fake
52,Viral Test: Did RSS give British Queen a guard of honour before Independence?,Fake
53,Viral Test: Posts about Muslim board 'demanding' another partition busted,Fake
54,Viral Test: Is this video of police firing tear gas at protesters from Kashmir?,Fake
55,Viral Test: Was a BJP MLA chased and beaten by voters?,Fake
56,Viral Test: Rumours linking Zakir Naik's return with Congress dashed,Fake
57,"Fact Check: No, this did not happen in PM's constituency",Fake
58,Fact Check: The mystery behind 40-lakh omissions in Assam's NRC,Fake
59,Fact Check: Did TMC insult the Tricolour? Here's the truth,Fake
60,Viral Test: The truth behind man beating cop in viral video,Fake
61,"Fact Check : No, Reliance Jio is not offering any SMS posting job for you",Fake
62,Fact Check: Did UAE offer Rs 700 crore for Kerala floods?,Fake
63,Fact File: Does military aid come free in flood-hit states?,Fake
64,Fact Check: Former IPS officer uses old picture to target PM Modi as Kerala battles flood,Fake
65,Fact Check: Now fake news floods Kerala,Fake
66,Viral Test: Girl hit by car while doing Kiki challenge,Fake
67,Fact Check: Does PM Modi really have aversion to colour green as Shashi Tharoor alleged?,Fake
68,Fact Check: PM Narendra Modi's Independence Day speech,Fake
69,Fact Check: Are MUDRA loans really generating jobs?,Fake
70,Fact Check: This viral photo from Kerala rescue is not of Indian Army,Fake
71,Fact Check: Rahul Gandhi changed price of Rafale aircraft 4 times in 5 months,Fake
72,Fact Check: Did a Muslim woman design Indian National Flag?,Fake
73,Viral Test: When Sanjiv Bhatt's 'pun' landed in porn world,Fake
74,Fact Check: Those WhatsApp texts saying you will see two moons tonight are a hoax,Fake
75,Fact Check: Did Rahul Gandhi go blank on a question about Kailash Mansarovar?,Fake
76,Fact Check: Viral video spins a fake story around Boeing 737 caught in typhoon,Fake
77,"Fact Check: No, J&K Police is not raising slogans for azaadi",Fake
78,"Fact Check: No, Prime Ministerâ€™s mother is not asking for your votes",Fake
79,Fact Check: HAL's tweet contradicting defence minister is fake,Fake
80,Fact File: Do aircraft really drop poop from sky?,Fake
81,Fact Check: This is the truth behind PM's claim on new airports,Fake
82,Fact Check: Did BJP leader Tajinder Bagga wear a T-shirt that called PM Modi a thief?,Fake
83,Fact Check: Why Giriraj Singh is wrong about Rahul Gandhi's photo,Fake
84,"Fact Check: No, Rajnath Singh is not posing with fugitive bizman Nitin Sandesara",Fake
85,"Fact Check: No minister, cows do not exhale oxygen!",Fake
86,"Fact Check: Damage to martyr's memorial was accident, not vandalism",Fake
87,Fact Check: Don't believe this emotional story from the City Of Joy,Fake
88,Fact Check: Did Pakistan govt retweet Rahul Gandhiâ€™s tweets on CBI against PM Modi?,Fake
89,Fact Check: Netizens switch support from one CBI officer to another,Fake
90,Fact Check: Handcuffed man in this photo is not Bhagat Singh,Fake
91,Fact Check: Leader being thrashed publicly by women not a BJP MLA,Fake
92,Fact Check: DD staffer from viral Naxal attack video is not dead,Fake
93,Fact Check: This video is not Army men overpowering a terrorist but an Army man angry with his wife,Fake
94,Fact Check: False claims take off after Indonesian air crash,Fake
95,Fact Check: Manoj Tiwari's claim about Centre's allocation to Delhi not based on facts,Fake
96,"Fact Check: No, it's not Congress minister forcing cops to eat his leftover food",Fake
97,Fact Check: Twitter user followed by PM posts doctored video of Modi,Fake
98,Fact Check: Pakistan again uses fake images to target India,Fake
99,Fact Check: This viral picture of police brutality on farmers shows only half truth,Fake
100,Fact Check: Rahul Gandhi goofs up on Panama papers in Madhya Pradesh rally,Fake
101,Fact Check: Brand new netizens pour support for bribery accused CBI Special Director Rakesh Asthana,Fake
102,Fact Check: Truth about viral video of Gujarat migrants exodus,Fake
103,Fact Check: Fake letters flood social media in poll-bound MP,Fake
104,Fact Check: Misleading photos used to showcase saffron surge in Ayodhya,Fake
105,Fact Check: Letter leaking Congress's nefarious plans on farm loan waiver is fake,Fake
106,Fact Check: Horrific video of woman burning has nothing to do with RSS,Fake
107,Fact Check: Photo of Shivraj Singh Chouhan â€‹feasting on non-veg food is morphed,Fake
108,Fact Check: Photoshopped images pit Jats against Gehlot and Raje in Rajasthan,Fake
109,Fact Check: Former Karnataka CM Siddaramaiah didn't do this. It's his lookalike!,Fake
110,"Fact Check: No, these children were not killed for organ harvesting",Fake
111,"Fact Check: Did Congress, BJP violate law by campaigning on Twitter on polling day?",Fake
112,Fact Check: Did Rahul Gandhi goof-up on paddy price during Chhattisgarh rally?,Fake
113,"Fact Check: No, Rahul Gandhi didnâ€™t say he will make Sun rise from the West",Fake
114,Fact Check: Man beaten up in this video is not a BJP candidate from Rajasthan's Dausa,Fake
115,"Fact Check: No, Vasundhara Raje didn't say confuse voters to secure their votes",Fake
116,Fact Check: This is how Sambit Patra gave spin to Kamal Nathâ€™s statement,Fake
117,Fact Check: Did Rajasthan Congress workers shout pro-Pakistan slogans?,Fake
118,Fact Check: Who funded the tallest statue of the world?,Fake
119,Fact Check: Did senior Congress leader TS Singh Deo touch Rahul Gandhi's feet?,Fake
120,Fact Check: Fake newspaper clip quotes Shah and Modi calling Baniyas thieves,Fake
121,Fact Check: BJPâ€™s claim about Telangana Congress manifesto is misleading,Fake
122,Fact Check: The 'news' of attack on Amit Shah with rotten eggs is misleading,Fake
123,"Fact Check: No, PM Modi didn't claim 1,250 crore houses were built by his government",Fake
124,"Fact Check: No, Modi was not waving at an empty train from Assam bridge",Fake
125,Fact Check: Truth behind this viral picture depicting farm distress,Fake
126,Fact Check: The emotional appeal with this moving picture of a sick child is fake,Fake
127,"Fact Check: Video showing attack on Hindus is not from Rajasthan, but Bangladesh",Fake
128,Fact Check: Man who blackened PM's poster is not Sachin Pilot,Fake
129,Fact Check: Don't trust the viral message about no toll charges for 12 hours journey,Fake
130,"Fact Check: Giriraj Singh cites a dubious website, positions Congress as worldâ€™s 2nd-most corrupt party",Fake
131,Fact check: This protest march by Muslim organisations has nothing to do with Congress victory,Fake
132,Fact Check: Video of Muslims shouting communal slogans not linked to Congress victory,Fake
133,Fact Check: Manohar Lal Khattar never said he is chief minister only for Punjabis,Fake
134,Fact Check: Did Modi refer to Sonia Gandhi as Congress Ki Vidhwa?,Fake
135,Fact Check: Obama never said terrorist attacks impossible in India till Modi is PM,Fake
136,"Fact Check: No, Naseeruddin Shah never said 'India is a pathetic country'",Fake
137,"Fact Check: No, farmer who sent his earnings to PMO in protest was not asked to pay online",Fake
138,Fact Check: This is the truth behind this hilarious pant-dropping video,Fake
139,"Fact Check: No, Rahul Gandhi has not retracted from the promise of loan waiver",Fake
140,"Fact Check: Old video of Rahul Gandhi resurfaces, claims he turned to Islam",Fake
141,Fact Check: Viral claims about Sambit Patra's removal as BJP spokesperson are false,Fake
142,Fact Check: The Nizam of Hyderabad never fled as Yogi Adityanath claimed,Fake
143,Fact Check: Uttar Pradesh CM Yogi Adityanath never claimed that he was God,Fake
144,Fact Check: Amit Shah's claim about Opposition leaders not raising patriotic slogans incorrect,Fake
145,Fact Check: Truth behind the thrilling video of skydivers claimed to be from Indian Army,Fake
146,Fact Check: Viral post claiming Modi govt killed more terrorists than that of Manmohan Singh is false,Fake
147,Fact Check: Viral images and video on tiger attacks are old and misleading,Fake
148,"Fact Check: No, thousands of trees were not axed to build PMâ€™s helipad in Odisha's Balangir",Fake
149,Fact Check: Bangladeshi woman's viral video is not of religious conversion but exorcism,Fake
150,"Fact Check: No, Pakistan is not visible from Mehrangarh Fort in Jodhpur",Fake
151,"Fact Check: Mamata spoke about Muslims, but she also praised other religions at Opposition's mega rally",Fake
152,Fact Check: Is it mandatory for a civilian to salute Tricolour?,Fake
153,"Fact Check: Who is meeting Gurmeet Ram Rahim in this viral photo? No, not Kapil Sibal",Fake
154,Fact Check: Truth behind viral images of Shri Ram bricks used for drain construction,Fake
155,Fact Check: Viral video of mysterious floating island found near Mumbai was a joke!,Fake
156,"Fact Check: No, Jio is not offering you free T-shirt",Fake
157,Fact Check: Did Congress leader Kapil Sibal get slapped outside the court?,Fake
158,Fact Check: BJP uses wrong pictures to showcase expressway construction,Fake
159,Fact Check: PM Modi didn't lend his voice in this viral 'Katyayani mantra',Fake
160,Fact Check: Old Kumbh Mela photos passed on social media as recent ones,Fake
161,"Fact Check: No, Priyanka Gandhi is not drunk in this viral video",Fake
162,Fact Check: Viral post claiming shoes thrown at Jharkhand CM Raghubar Das is old and misleading,Fake
163,Fact Check: Is Rahul Gandhi posing with a porn star in this viral photo?,Fake
164,Fact Check: Did Rahul Gandhi attribute Mahatma Gandhi's non-violence mantra to Islam?,Fake
165,Fact Check: Fake quote of Sachin Tendulkar goes viral,Fake
166,"Fact Check: Viral video claiming ""BJP worker caught with beef in Gujarat"" is false",Fake
167,Fact Check: Prominent news channel twists the tale of distressed MP farmer,Fake
168,Fact Check: Viral post claiming Sonia Gandhi richer than Britain's Queen Elizabeth II is false,Fake
169,Fact Check: New name of Train 18 is not Vande Mataram Express,Fake
170,"Fact Check: No, these rail coaches are not manufactured under Make In India",Fake
171,Fact Check: The news behind Indian woman soldier dying in Kashmir is fake,Fake
172,Fact Check: Ganga Expressway is not the longest as claimed by UP CM Yogi,Fake
173,Fact Check: Don't get panicked by viral post about SBI's contactless card,Fake
174,Fact Check: The Alphons picture attracting trolls is no selfie with Pulwama martyr,Fake
175,Fact Check: This viral picture of Kejriwal in midi-length shirt is photoshopped,Fake
176,"Fact Check: No, this fountain is not powered by om",Fake
177,Fact Check: This shelling video has nothing to do with ongoing India-Pakistan conflict,Fake
178,"Fact Check: No, the viral images are not from PMâ€™s rally in Bengal",Fake
179,Fact Check: Did Mamataâ€™s goons attack Hindus at a BJP rally in Kolkata?,Fake
180,"Fact Check: No, these people didn't die during physical test in J&K's Udhampur",Fake
181,Fact Check: How India Today video was given an ugly twist,Fake
182,Fact Check: Viral video claiming to be Rafale jet is actually a remote-controlled toy aircraft,Fake
183,"Fact Check: No, India is not the first non-Nato country to get Chinook helicopter",Fake
184,"Fact Check: No, Harvard University did not give credit to 2019 Kumbh Mela over 2014 FIFA World Cup",Fake
185,"Fact Check: No, Kapil Sibal did not move UK court against Mallya's extradition",Fake
186,Fact Check: Viral claim that Mehbooba sent Army jawans to Tihar is false,Fake
187,Fact Check: The viral video about bomb at Delhi metro was not a mock drill,Fake
188,Fact Check: PM Modi never said 33 crore bank accounts were opened in Chhattisgarh alone,Fake
189,Fact Check: Morphed image shows PM Modi waving Islamic flag,Fake
190,Fact Check: PM Modi's comments on hanging misreported by news agency,Fake
191,Fact Check: Viral video of Pulwama attack footage is actually Baghdad blast from 2007,Fake
192,Fact Check: These are not the coffins of Pulwama martyrs,Fake
193,Fact Check: Viral claim that Congress workers were beaten up for anti-national speech on budget day is false,Fake
194,"Fact Check: No, Shakira didn't sing Bhupen Hazarika's Ganga Behti Ho Kyun",Fake
195,Fact Check: This Facebook post has nothing to do with actor Shraddha Kapoor,Fake
196,Fact Check: This viral photo is not of an injured Indian Army soldier but a Russian,Fake
197,Fact Check: This is not the video of missing IAF pilot,Fake
198,Fact Check: This is not Saudi Prince talking about Kashmir in the viral video,Fake
199,Fact Check: Viral video of IAF airstrike is actually from a video game,Fake
200,Fact Check: Misleading photos of celebrities being used for propaganda,Fake
201,Fact Check: Old lathi charge video from Karnataka resurfaces as one from Gorakhpur,Fake
202,Fact Check: Uttar Pradesh CM Yogi Adityanath didn't laugh at martyr's funeral,Fake
203,Fact Check: There is no jhoot in Yogi's claim about Donald Trump,Fake
204,"Fact Check: No, this chaiwala is not the brother of Yogi Adityanath",Fake
205,Fact Check: What's the truth behind viral post claiming Yogi's chopper entered Bengal?,Fake
206,"No, Mamata Banerjee didn't ask her ministers to not chant Vande Mataram",Fake
207,Fact Check: Woman in this viral video is not the wife of IAF pilot Abhinandan Varthaman,Fake
208,Fact Check: Did Yogi Adityanath celebrate Holi wearing a raincoat?,Fake
209,Congress spokesperson's claim on veteran BJP leaderâ€™s speech is false,Fake
210,Fact Check: Did the judge who acquit Swami Aseemanand in Mecca Masjid blast case join BJP?,Fake
211,"Fact Check: No, this is not the video of Ethiopian Airlines plane that crashed on March 10",Fake
212,Fact Check: The viral story of this injured Palestinian boy is not true,Fake
213,"Fact Check: No, Urmila Matondkar is not niece of RSS chief Mohan Bhagwat",Fake
214,"Fact Check: No, this London tea shop didn't use Abhinandan's image on its signboard",Fake
215,Fact Check: This is the truth about the viral posts questioning Priyanka Gandhiâ€™s religion,Fake
216,Fact Check: Rahul Gandhi's claim on Ordnance factory of Amethi is misleading,Fake
217,Fact Check: The woman in this viral picture is not IAF pilot Abhinandan's wife,Fake
218,"Fact Check: No, NRIs cannot vote online in 2019 Lok Sabha elections",Fake
219,Fact Check: No political party was involved in this hair pulling incident,Fake
220,Fact Check: Wife divorced husband for faking as deaf and dumb is a fictitious story,Fake
221,Fact Check: Did PM Modi top the list of '50 most honest politicians' surveyed in the US?,Fake
222,This video showing celebration on the return of Abhinandan is fake,Fake
223,Fact Check: Congress IT cell head Divya Spandana slams BJP over old news,Fake
224,Fact Check: Was Gandhi family celebrating birthday as scientists used bicycle to carry rocket parts?,Fake
225,"Fact Check- PM stands correct, no bulletproof jacket procured during UPA-2",Fake
226,"Fact Check: Old, controversial story of African lions saving a girl surfaces again",Fake
227,"Fact Check: No, Maggi doesnâ€™t contain pig fat",Fake
228,"Fact Check: No, PM Modi is not the only Indian prime minister to get standing ovation in US Congress",Fake
229,Fact Check: Tweet claiming BJP leaders forced Nirav Modi to flee India is false,Fake
230,"Fact Check: No, this is not a real e-passport",Fake
231,Fact Check: Sambit Patra's photo with chowkidar chor hai poster is fake,Fake
232,Fact Check: This video of PM Modi talking about EVM is misleading,Fake
233,Fact Check: Viral post on Priyanka Gandhi discussing 2022 polls with workers is misleading,Fake
234,Fact Check: Facebook post questioning Rahul's arithmetic on NYAY scheme is misleading,Fake
235,Fact Check: Rahul Gandhi never said farm produce can be sold to pharma companies,Fake
236,"Fact Check: Viral post on Raghuram Rajan, Rahul Gandhi and Nirav Modi is false",Fake
237,Fact Check: Chill. Iceland hasn't declared religions as weapons of mass destruction,Fake
238,Fact Check: Shabana Azmi's controversial tweet is not completely fake,Fake
239,Fact Check: Viral video of EVM burning is not from ongoing Lok Sabha polls,Fake
240,Fact Check: How Abhinandan Varthaman's medical leave was twisted on social media,Fake
241,Fact Check: Viral claim about Dhoni joining BJP is false,Fake
242,Fact Check: BBC never called BJP the most corrupt party in the world,Fake
243,Fact Check: Viral post claiming Google CEO Sundar Pichai cast his vote in India is fake,Fake
244,"Fact Check: Truth behind viral photo of â€˜BJP MLAâ€™ carrying Rs 20,000 crore cash in his car",Fake
245,Fact Check: China never shot down an Indian satellite as being claimed,Fake
246,Fact Check: CIA survey on Indian poll results is a hoax,Fake
247,Fact Check: Is BJP's Shivraj Singh Chouhan going to take on Digvijay Singh in Bhopal?,Fake
248,Viral Facebook post alleges EVM tampering in Madhya Pradesh. Hereâ€™s the truth,Fake
249,Fact Check: Viral claim of Ambedkar statue damaged by BJP MLA is misleading,Fake
250,Fact Check: The truth behind Yogi Adityanath's 'cash-for-vote' video,Fake
251,Fact Check: Truth behind photos of man dressed as Hanuman shared as BJP candidate from Bengal,Fake
252,Fact check: False claim links Kiran Bedi's viral pic with Indira Gandhi's 'car-towing' incident,Fake
253,The truth behind Mamataâ€™s appeal to â€˜vote for BJPâ€™,Fake
254,Fact Check: News channel misreports common man as Congress MLA Anil Upadhyay,Fake
255,Fact Check: Viral post claiming Prime Minister Narendra Modi used abusive word in Gujarati is totally false,Fake
256,Fact Check: Video showing Amit Shah insulting LK Advani is misleading,Fake
257,The truth behind viral video where Modi calls himself son of Pathan,Fake
258,Fact Check: Viral photo claiming Sidhu being thrashed is misleading,Fake
259,Fact Check: Misleading Facebook post of 'Pakistani flags' in BJP rally goes viral,Fake
260,Fact Check: Karnataka BJP shares fake letter involving Sonia Gandhi,Fake
261,Fact Check: Truth about this viral photo targeting Rahul Gandhi,Fake
262,Fact Check: Man beating up a cop in viral video is not Congress MLA,Fake
263,"Fact Check: Rahul Gandhi jumps the gun, says Modi govt approves shooting of tribals",Fake
264,Fact Check: Did Wayanad cheer up for Rahul Gandhi waving Pakistan flags?,Fake
265,Fact Check: How Rahul Gandhi's translator gave armour to opponents,Fake
266,Fact Check: Execution story of US prisoner is not authentic,Fake
267,"Fact Check: Mehbooba Mufti, senior journalists are wrong on Sadhvi Pragyaâ€™s age",Fake
268,Fact Check: Know the truth behind Sadhvi Pragya's 'controversial statement',Fake
269,"Fact Check: As social media argues over Sadhvi Pragya's acquittal, here are the facts",Fake
270,"Fact Check: No, this viral photograph has no link with Kanhaiya Kumar's poll campaign",Fake
271,Fact Check: Singer chanting Hanuman Chalisa in this viral video is not Madonna,Fake
272,Fact Check: Truth behind photo claiming Jignesh Mevani was beaten up in Begusarai,Fake
273,Fact Check: Man in viral video inside polling booth is from TMC and not BJP,Fake
274,Fact Check: This hilarious video has nothing to do with election campaign,Fake
275,Fact Check: Truth behind the viral video that claims conspiracy by BJP to change EVMs,Fake
276,Fact Check: Did Arun Jaitley use navy chopper to ferry his family in Goa?,Fake
277,Fact Check: Viral claim of boy dying due to birthday bumps is false,Fake
278,Fact Check: Video of street play claiming to be of TMC candidate goes viral,Fake
279,Fact Check: Gurugram Congress shares misleading video on 'Modi's beautician',Fake
280,Fact Check: Yogi Adityanath lookalike with Akhilesh Yadav is not UP CMâ€™s brother,Fake
281,Fact Check: The truth about Rajnath Singh's picture at madrasa,Fake
282,Fact Check: Misleading post regarding Netaji Subhas Chandra Boseâ€™s bust goes viral,Fake
283,Fact Check: Was PM Modi wearing shoes inside Kedarnath temple?,Fake
284,Fact Check: Amartya Sen never said he preferred watching cartoon than Modiâ€™s oath-taking ceremony,Fake
285,Fact Check: Viral photos of huge BJP crowd not from Azamgarh,Fake
286,Fact Check: Will Shabana Azmi leave India if PM Modi returns to power?,Fake
287,Fact Check: Viral claim of EVMs being stolen in UP's Chandauli is false,Fake
288,Fact Check: Viral money shower video has no link to PM Modi's election victory celebration,Fake
289,"Fact Check: No, Washington Post did not publish cartoon making fun of Rahul Gandhi",Fake
290,Fact Check: Misleading picture of cow deaths goes viral again on social media,Fake
