id,Statement,Label
2,"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters",TRUE
3,"In Delhi, Deputy US Secretary of State Stephen Biegun pitches for Pax Indo-Pacifica",TRUE
4,LAC tensions: China's strategy behind deliberately failing talks with India,TRUE
5,India has signed 250 documents on Space cooperation with 59 countries: ISRO chief,TRUE
6,Tamil Nadu chief minister's mother passes away at 93,TRUE
7,Bihar Assembly Election 2020: This is why Tej Pratap shifted from Mahua to Hasanpur ,TRUE
8,"Hathras case: CBI reaches victim's village, visits crime scene",TRUE
9,"Rajasthan Crime News: After Karauli, another elderly beaten to death in Sikar, five youths in custody",TRUE
10,"Mumbai: BMC to book, penalise people stepping out without face masks",TRUE
11,"COVID-19: India's single-day spike drops to 55,342 as tally approaches 72 lakh",TRUE
12,"Amid stubble burning, Delhi's air quality deteriorates to 'very poor'",TRUE
13,Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates,TRUE
14,PM Modi releases Balasaheb Vikhe Patil's autobiography,TRUE
15,"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale",TRUE
16,Mumbai power outage: Fire reported in hospital,TRUE
17,"Tamil Nadu COVID recoveries touch six-lakh mark, active cases at 44,095 ",TRUE
18,Indian exports to Armenia increased three-fold in past three years,TRUE
19,"7 Indian hostages freed in Libya, all in good health: MEA",TRUE
20,"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone",TRUE
21,Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces,TRUE
22,"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray",TRUE
23,"Mumbai outage: After major blackout, power supply restored in most areas; Thackeray orders probe",TRUE
24,Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician,TRUE
25,Mumbai power outage: BMC instructs hospitals to get enough diesel for at least 8 hours,TRUE
26,"Mumbai suffers major power outage, local train services affected",TRUE
27,"India, China to hold 7th Corps Commander-level talks today at Chushul",TRUE
28,"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students",TRUE
29,"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns",TRUE
30,Seven Indians kidnapped in Libya in September released,TRUE
31,"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court",TRUE
32,Delhi government exempts road tax for battery operated vehicles,TRUE
33,"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions",TRUE
34,"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list",TRUE
35,Andhra govt complains to CJI against alleged intervention by sitting SC judge,TRUE
36,"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly",TRUE
37,Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains,TRUE
38,"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30",TRUE
39,"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer",TRUE
